year,month,carrier_name,airport_abbr,airport_name,city,state,total_number_flights,air_carrier_delay,weather_delay,national_aviation_system_delay,sercurity_delay,aircraft_arriving_late,flight_cancelled,flight_diverted
2018,September,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,8.0,0.85,0.0,0.49,0.0,1.65,0.0,0.0
2018,September,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,25.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2018,September,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,114.0,6.97,0.01,7.65,0.0,5.37,0.0,0.0
2018,September,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,143.0,8.14,0.0,1.49,0.0,15.36,0.0,1.0
2018,September,Endeavor Air Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,3.0,0.68,0.0,0.32,0.0,0.0,0.0,0.0
2018,September,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,299.0,25.6,2.42,24.86,0.61,24.51,7.0,0.0
2018,September,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,513.0,33.62,1.85,30.74,0.0,33.79,5.0,0.0
2018,September,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,407.0,32.62,0.37,10.33,0.0,11.68,0.0,0.0
2018,September,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,October,Endeavor Air Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,9.0,1.35,0.0,1.44,0.0,1.2,0.0,1.0
2018,October,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,348.0,22.21,0.95,10.37,0.0,24.46,3.0,0.0
2018,October,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,552.0,50.59,1.89,27.75,0.9,32.87,4.0,1.0
2018,October,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,418.0,21.18,1.09,11.17,0.0,13.56,0.0,0.0
2018,October,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,9.0,0.02,0.0,0.45,0.0,1.52,1.0,0.0
2018,October,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,26.0,1.2,0.0,2.8,0.0,0.0,0.0,0.0
2018,October,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,144.0,6.93,0.14,6.8,0.0,13.13,0.0,0.0
2018,October,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,145.0,7.89,0.44,3.83,0.0,6.84,0.0,0.0
2018,October,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,November,Endeavor Air Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,November,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,362.0,37.91,4.02,30.68,0.05,22.33,1.0,0.0
2018,November,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,690.0,96.05,0.8,76.06,0.33,58.76,7.0,0.0
2018,November,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,402.0,40.79,5.9,18.37,0.0,26.94,1.0,0.0
2018,November,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,68.0,9.27,0.14,10.73,0.0,3.86,1.0,0.0
2018,November,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,24.0,0.53,0.0,1.95,0.0,2.52,1.0,0.0
2018,November,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,46.0,1.47,0.0,3.97,0.0,2.56,0.0,0.0
2018,November,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,170.0,9.9,0.86,17.87,0.0,16.37,4.0,0.0
2018,November,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,202.0,17.57,2.57,6.31,0.0,20.55,1.0,0.0
2018,November,Mesa Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,November,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,38.0,1.04,0.0,7.15,0.0,0.81,1.0,0.0
2018,December,Endeavor Air Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,7.0,0.92,0.0,1.08,0.0,0.0,0.0,0.0
2018,December,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,383.0,33.59,2.18,39.7,0.0,25.53,8.0,2.0
2018,December,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,757.0,84.33,0.0,78.66,1.43,53.59,0.0,1.0
2018,December,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,518.0,19.73,4.74,26.12,0.0,17.41,0.0,0.0
2018,December,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,129.0,13.6,0.0,11.27,0.0,9.12,1.0,0.0
2018,December,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,24.0,1.71,0.3,5.62,0.0,2.37,0.0,0.0
2018,December,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,69.0,2.43,0.0,2.85,0.0,0.72,0.0,0.0
2018,December,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,262.0,18.38,0.16,30.5,0.0,35.97,0.0,1.0
2018,December,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,212.0,25.79,0.0,11.99,0.97,27.25,0.0,1.0
2018,December,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,32.0,0.22,0.0,3.67,0.0,1.11,0.0,0.0
2019,January,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,442.0,22.17,6.0,36.33,0.0,25.5,8.0,0.0
2019,January,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,754.0,88.38,6.19,69.09,0.77,66.57,31.0,0.0
2019,January,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,502.0,20.22,4.31,25.4,0.0,24.06,0.0,2.0
2019,January,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,130.0,12.62,1.22,14.97,0.0,3.19,2.0,0.0
2019,January,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,27.0,1.34,0.0,3.06,0.78,1.82,1.0,0.0
2019,January,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,79.0,5.56,0.2,7.07,0.0,5.18,2.0,0.0
2019,January,SkyWest Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,2.0,0.0,0.56,0.44,0.0,0.0,0.0,0.0
2019,January,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,235.0,15.96,1.88,19.43,0.0,31.73,0.0,0.0
2019,January,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,240.0,24.02,1.49,13.22,0.0,14.27,4.0,0.0
2019,January,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,44.0,0.75,0.33,6.49,0.0,2.44,0.0,0.0
2019,February,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,434.0,45.13,2.63,34.87,0.27,31.1,0.0,0.0
2019,February,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,760.0,74.41,2.29,67.25,0.5,47.55,14.0,3.0
2019,February,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,444.0,18.77,3.05,10.0,0.0,17.18,1.0,0.0
2019,February,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,118.0,7.69,0.19,9.6,0.0,9.52,1.0,0.0
2019,February,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,24.0,0.34,0.0,1.03,0.0,2.62,2.0,0.0
2019,February,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,69.0,5.17,0.1,8.73,0.0,1.0,0.0,0.0
2019,February,SkyWest Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,February,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,234.0,12.17,1.3,19.97,0.0,22.56,0.0,0.0
2019,February,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,222.0,26.41,1.08,9.4,0.0,22.12,8.0,0.0
2019,February,Mesa Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,February,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,39.0,1.48,0.0,5.47,0.0,0.05,0.0,0.0
2019,March,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,521.0,55.45,0.83,31.65,0.57,43.5,6.0,0.0
2019,March,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,832.0,82.12,1.1,59.56,0.77,65.46,13.0,0.0
2019,March,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,575.0,25.52,0.44,16.43,0.0,19.61,0.0,0.0
2019,March,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,132.0,13.57,0.0,9.15,0.0,9.28,0.0,0.0
2019,March,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,26.0,2.62,0.0,3.86,0.0,2.53,0.0,0.0
2019,March,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,80.0,4.32,0.0,2.9,0.0,1.79,1.0,0.0
2019,March,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,334.0,25.1,2.38,19.76,0.0,40.77,2.0,0.0
2019,March,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,301.0,32.76,0.75,10.65,0.0,12.84,5.0,0.0
2019,March,Mesa Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019,March,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,47.0,1.0,0.13,8.1,0.0,1.77,0.0,0.0
2019,April,American Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,502.0,34.92,1.89,43.96,0.32,45.91,15.0,3.0
2019,April,JetBlue Airways,PBI,Palm Beach International Airport,West Palm Beach,FL,804.0,63.54,2.45,59.61,0.0,77.4,11.0,0.0
2019,April,Delta Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,532.0,36.77,2.8,17.13,0.0,24.29,3.0,0.0
2019,April,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,126.0,5.52,0.0,7.06,0.0,5.42,2.0,0.0
2019,April,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,26.0,1.0,0.0,2.62,0.0,2.38,0.0,1.0
2019,April,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,93.0,4.45,0.0,4.94,0.0,3.61,5.0,1.0
2019,April,United Air Lines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,307.0,25.3,2.4,15.09,0.0,47.21,1.0,1.0
2019,April,Southwest Airlines Co.,PBI,Palm Beach International Airport,West Palm Beach,FL,210.0,17.38,0.86,9.18,0.0,11.58,2.0,0.0
2019,April,Republic Airline,PBI,Palm Beach International Airport,West Palm Beach,FL,47.0,1.66,0.0,2.88,0.0,1.46,1.0,0.0
2019,May,Frontier Airlines Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,38.0,2.25,0.0,3.09,0.0,1.66,2.0,2.0
2019,May,Envoy Air,PBI,Palm Beach International Airport,West Palm Beach,FL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,May,Spirit Air Lines,PBI,Palm Beach International Airport,West Palm Beach,FL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
